ISBN,Імʼя автора,Жанр книги,Мова,Мова оригіналу,Назва видавця,Назва книги,Оригінальна назва,Перекладач,Рік видання
978-617-12-8844-7,Дж. Фанґ,Наукпоп,українська,англійська,КСД,Код ожиріння. Секрети втрати ваги,The Obesity Code.Unlocking The Secrets of Weight Loss,Я. А. Лебеденко,
978-617-12-8657-3,"за заг. ред. О. Зінченка, В. В’ятровича, М. Майорова","Історія, факти та біографії",українська,,КСД,Війна і міф. Невідома Друга світова,,,
978-617-548-102-8,Джеремі С. Міллер,Бізнес-література,українська,,Bookchef,Правила інвестування Воррена Баффета. Як зберігати та примножувати капітал,,,2022.0
978-966-97883-1-3,Лу Юй,Наукпоп,українська,,Сафран,Чайний Канон,,,2024.0
978-617-12-9151-5,Л. Бурбо,Психологія,українська,французька,КСД,Хто ти є? Як прийняти себе та зрозуміти інших,Qui es-tu?,В. В. Космідайло,
9786178053345,Є. Кернер,Наукпоп,українська,,Лабораторія,"Давайте поговоримо про ваш останній секс. Оголіть тіло, щоб розкрити душу",,,2022.0
978-617-95267-5-6,Дж. Вілліс,Наукпоп,українська,,Бородатий Тамарин,Усі ці світи ваші,,,2023.0
978-617-170-200-4,О. Зінченко,"Історія, факти та біографії",українська,,Віват,Як українці зруйнували імперію зла,,,2023.0
978-617-796-036-1,І. Черненко,Наукпоп,українська,,Віхола,Сміх у кінці тунелю. Нотатки українського анестезіолога,,,2021.0
978-617-15-0000-6,Р. Докінз,Наукпоп,українська,англійська,КСД,Оповідь предка. Історія створення людства,The Ancestor’s Tale,,2023.0
978-617-8120-42-9,"В. В’ятрович, І.  Дерев’яний, Р. Забілий, П. Содоль","Історія, факти та біографії",українська,,Наш формат,УПА. Історія нескорених,,,
978-617-12-8649-8,Е. Берн,Психологія,українська,,КСД,"Ігри, у які грають люди",,,
978-617-12-9943-6,Джі Г.,Наукпоп,українська,англійська,КСД,"Коротка (дуже) історія життя на Землі. 4,6 мільярда років у 12 розділах",A (Very) Short History of Life On Earth: 4.6 Billion Years in 12 Chapters,,2023.0
978-617-12-8656-6,Е. Фромм,Психологія,українська,англійська,КСД,Мистецтво любові,The Art of loving,В. І. Кучменко,
978-617-522-131-0,Р. Грутман,"Історія, факти та біографії",українська,,Фабула,Військові злочини проти жінок,,,2023.0
978-617-548-082-3,С. Капоні,"Езотерика, таро",українська,,Bookchef,"Таро для початківців. Посібник із бездоганного читання карт, розкладів і виконання інтуїтивних вправ",,,2023.0
978-966-982-936-8,Еш Амбірдж,Психологія,українська,англійська,Віват,"Синдром самозванця. Як прожити неймовірне життя, на яке ви заслуговуєте",,,2023.0
978-617-12-9884-2,"Ґлейзер Т., Фенг Г., Фекр Ш.",Наукпоп,українська,,КСД,Зовнішня icторiя. Усе про ваші очі,,,2023.0
978-966-679-961-9,С’юзі Ходж,Дозвілля та Хобі,українська,,Видавництво Старого Лева,Коротка історія мистецтва,,,2022.0
9786171703520,А. Мельниченко,Психологія,українська,,Віват,Зрозуміти (і здолати) булінг,,,2024.0
978-617-12-1646-4,В. В`ятрович,"Історія, факти та біографії",українська,,КСД,За лаштунками «Волині-43». Невідома польско-українська війна,,,2016.0
978-966-993-988-3,Наталія Музика,Наукпоп,українська,,Bookchef,"Сексологія. Легко й дотепно про секс, анатомію, оргазми та багато іншого",,,2023.0
978-617-12-8591-0,І. Ялом,Психологія,українська,англійська,КСД,Проблема Спінози,The Spinoza Problem,А. В. Зорницький,2021.0
978-617-8277-23-9,Ф. Фукуяма,"Історія, факти та біографії",українська,,Наш формат,Лібералізм і його протиріччя,,,2023.0
978-617-8115-12-8,Б. Майнер,Психологія,українська,,Наш формат,Досконалий джентльмен: Путівник з лицарства для сучасних чоловіків,,,2024.0
978-617-15-0014-3,Т. Тведт,"Історія, факти та біографії",українська,англійська,КСД,Історія світу. Минуле як дзеркало сьогодення,VERDENSHISTORIE: Med Fortiden Som Speil,Никончук Микита,2023.0
978-617-548-093-9,Джо Диспенза,Психологія,українська,,Bookchef,Позбудься звички бути собою. Зміни власне мислення,,,2023.0
978-617-548-040-3,К. Гарт,Дозвілля та Хобі,українська,,Форс,Як малювати аніме. Вчимося малювати оригінальних персонажів за простими шаблонами,,,2021.0
978-617-8362-74-4,Л. Явін,"Історія, факти та біографії",українська,,Лабораторія,Найкоротша історія Китаю,,,2024.0
978-966-993-725-4,Надін Берк Гарріс,Психологія,українська,,Форс,У глибокій прірві. Як позбутися наслідків дитячих травм,,,2021.0
978-617-548-236-0,Й. Зальцґебер,Психологія,українська,,Bookchef,"Маленька книга стоїцизму. Перевірена часом мудрість, що дарує стійкість, упевненість і спокій",,,2024.0
978–617-679-080-8,Д. Басфорд,Дозвілля та Хобі,українська,,Видавництво Старого Лева,Чарівний сад. Розмальовка,,,2014.0
978-617-8120-34-4,М. Менсон,Психологія,українська,,Наш формат,Витончене мистецтво забивати на все,,,2023.0
978-966-993-275-4,"В. Сміт, М. Менсон","Історія, факти та біографії",українська,,Форс,Will. Вілл,,,2021.0
978-617-548-077-9,Д. Спенст,Дозвілля та Хобі,українська,,Bookchef,"6 хвилин. Щоденник, який змінить ваше життя (пудровий)",,,2023.0
978-617-12-8124-0,Л. Хей,"Саморозвиток, мотивація",українська,англійська,КСД,Станьте щасливими за 21 день,Mirror Work: 21 Days to Heal Your Life,Н. В. Третякова,2020.0
978-617-12-9617-6,Л. Хей,Психологія,українська,англійська,КСД,Життя любить тебе. 7 духовних практик для зцілення,Life Loves You 7 Spiritual Practices to Heal Your Life,Є. О. Канчура,
978-617-7960-23-1,А. Сем’янків,Наукпоп,українська,,Віхола,Медицина доказова і не дуже,,,2021.0
978-617-8277-42-0,"М. Ґолдсміт , М. Рейтер",Психологія,українська,,Наш формат,"Тригери. Сформуй звички і стань тим, ким хочеш бути",,,2024.0
978-966-982-780-7,К. Неттерсон,Психологія,українська,,Віват,Тонке мистецтво виховання синів,,,2024.0
978-966-942-796-0,Б. Джонсон,"Історія, факти та біографії",українська,,Віват,Фактор Черчилля. Як одна людина змінила історію,,,2019.0
978-617-548-076-2,Д. Спенст,Дозвілля та Хобі,українська,,Bookchef,"6 хвилин. Щоденник, який змінить ваше життя (сірий)",,,2023.0
978-617-95267-9-4,Дж. Ґудолл,Наукпоп,українська,,Бородатий Тамарин,У пошуках надії,,,2024.0
978-617-12-4120-6,Н. Гілл,"Саморозвиток, мотивація",українська,англійська,КСД,Думай і багатій,Think and Grow Rich,М. Я. Сахно,
978-617-8277-11-6,"К. Гамільтон, М. Ольберґ","Історія, факти та біографії",українська,,Наш формат,Прихована рука Китаю. Як КНР непомітно захоплює світ,,,2023.0
978-966-948-261-7,Д. Грей,Психологія,українська,,Видавнича група КМ-БУКС,"Чоловіки з Марса, жінки з Венери",,,2019.0
978-617-12-8201-8,"Е. Блекберн, Е. Епел",Наукпоп,українська,англійська,КСД,Кинь виклик старості. Як у 60 виглядати на 30 і почуватися на 18,"The Telomere Effect: A Revolutionary Approach to Living Younger, Healthier, Longer",Я. А. Лебеденко,2020.0
978-966-982-833-0,М. Бітті,Психологія,українська,,Віват,Долаємо співзалежність. Як припинити контролювати інших і почати дбати про себе,,,2022.0
978-617-548-020-5,Р. Берн,"Езотерика, таро",українська,,Bookchef,Магія,,,2022.0
978-966-982-687-9,Джонс Д.,"Історія, факти та біографії",українська,,Віват,Тамплієри. Народження та загибель ордену,,,2022.0
978-617-8257-85-9,"О. Кучерук, Ю. Черченко, М. Ковальчук","Історія, факти та біографії",українська,,Віхола,Євген Коновалець. Історія нерозкритого вбивства,,,2024.0
978-966-993-587-8,А. Мерфі-Хіскок,"Езотерика, таро",українська,,Форс,"Green Witch. Універсальний довідник із природної магії рослин, ефірних олій та мінералів",,,2021.0
978-966-993-593-9,М. Макконагі,"Історія, факти та біографії",українська,,Форс,Зелене світло,,,2021.0
978-617-690-726-8,укл. В. Кіпіані,"Історія, факти та біографії",українська,,Віват,«Зродились ми великої години...». ОУН і УПА. Історична правда,,,2017.0
978-617-679-654-1,Б. Шефер,Психологія,українська,,Видавництво Старого Лева,Шлях до фінансової свободи,,,2018.0
978-617-12-9318-2,Д. Сазерленд,"Саморозвиток, мотивація",українська,,КСД,Scrum. Навчись робити вдвічі більше за менший час,,,
978-617-8286-15-6,О. Цибульська,"Саморозвиток, мотивація",українська,,Книголав,"ЦвіТИ! або Як полюбити ту, що в дзеркалі",,,2023.0
978-617-12-9904-7,Майкл Міхалко,Психологія,українська,англійська,КСД,Штурмуй! 21 спосіб мислити креативно,Thinkertoys:A Handbook of Creative-Thinking Techniques,,2023.0
978-617-12-9625-1,Р. Чалдині,Психологія,українська,англійська,КСД,Психологія впливу. Оновлено та доповнено,Influence: The Psychology of Persuasion,,2022.0
978-966-429-857-2,М. Зубков,Наукпоп,українська,,ВД «Школа»,Норми й культура української мови,,,2023.0
978-966-448-092-2,Бодо Шефер,Психологія,українська,,Видавництво Старого Лева,Закони переможців. Як здійснити cвої мрії,,,2023.0
978-617-8120-16-0,Коллінз Дж.,Психологія,українська,,Наш формат,Від хорошого до величного,,,2022.0
978-617-8203-75-7,Х. Шалак,Психологія,українська,,Лабораторія,"Нікого немає в лісі. Історії про людей, будівлі і психіатрію",,,2023.0
9786178299040,К. Пуура,Психологія,українська,,Лабораторія,Як виховати найщасливіших дітей у світі,,,2024.0
978-617-7544-16-5,К. П. Естес,"Історія, факти та біографії",українська,,Yakaboo Publishing,"Жінки, що біжать з вовками. Архетип Дикої жінки у міфах та легендах",,,2019.0
978-617-12-9378-6,Б. Мур,"Езотерика, таро",українська,англійська,КСД,Королівське Позолочене Таро,Gilded Tarot Royale,О. І. Оржицький,
978-617-8115-10-4,Р. Еджлі,"Історія, факти та біографії",українська,,Наш формат,Мистецтво стійкості: стратегії для незламного розуму і тіла,,,2024.0
978-966-982-892-7,Б. ван дер Колк,Психологія,українська,,Віват,Тіло веде лік. Як лишити психотравми в минулому,,,2022.0
978-617-7973-73-6,Сторр В.,Психологія,українська,,Наш формат,Наука сторітелінгу. Чому історії впливають на нас і як ними впливати на інших,,,2022.0
978-617-12-7681-9,Б. Трейси,Бізнес-література,українська,англійська,КСД,Досягнення максимуму. 12 принципів,Create Your Own Future: How to Master the 12 Critical Factors of Unlimited Success,Т. О. Фролов,2020.0
978-966-448-047-2,Г. Марш,Наукпоп,українська,,Видавництво Старого Лева,"Історії про життя, смерть і нейрохірургію",,,2022.0
978-617-12-8340-4,Л. Бурбо,Психологія,українська,французька,КСД,"П’ять травм і масок, які заважають бути собою",Les cinq blessures qui empechent d’etre soi-meme,А. А. Рєпа,2020.0
978-617-12-8593-4,Лідія Бебешко,Дозвілля та Хобі,українська,,КСД,Вишивальні традиції України: «білі» та «писані» сорочки,,,2021.0
978-617-7960-27-9,Катя Бльостка,Психологія,українська,,Віхола,"Матера вам не наймичка, або Чому діти це — прекрасно…",,,2021.0
978-617-7764-55-6,Р. Шеперд,Психологія,українська,,Bookchef,Неприродні випадки. Нотатки судмедексперта в 34 розтинах,,,2021.0
978-617-548-118-9,Джаннетт Воллс,Психологія,українська,,Bookchef,Скляний замок. Мемуари,,,2023.0
978-617-95102-0-5,Ліндсі К. Гібсон,Психологія,українська,,Видавництво Наталії Переверзєвої,Дорослі діти емоційно незрілих батьків,,,2024.0
978-617-8277-37-6,А. Шварценеґґер,"Історія, факти та біографії",українська,,Наш формат,Будь корисним. Сім життєвих правил,,,2023.0
978-617-09-8110-3,,"Історія, факти та біографії",українська,,Фабула,Наша столітня. Короткі нариси про довгу війну,,,
978-617-7960-71-2,Станчишин В.,Психологія,українська,,Віхола,Емоційні гойдалки війни. Роздуми психотерапевта про війну,,,2022.0
978-617-8115-89-0,Сьюзен Кейн,Психологія,українська,,Наш формат,Цінність смутку,,,2023.0
978-617-548-092-2,Денис Каплунов,Наукпоп,українська,,Bookchef,Королі соціальних мереж,,,2023.0
978-617-8277-39-0,Брітні Спірс,"Історія, факти та біографії",українська,,Наш формат,Жінка в мені,,,2024.0
978-617-8277-75-8,Т. Джадт,"Історія, факти та біографії",українська,,Наш формат,Переосмислення забутого ХХ століття,,,2024.0
978-966-448-274-2,"А. Ослунд, А. Кубілюс","Історія, факти та біографії",українська,,Видавництво Старого Лева,"Відбудова, реформування та вступ України до ЄС",,,2024.0
978-617-12-5789-4,"А. Галушка, Є. Брайлян","Історія, факти та біографії",українська,,КСД,Змова диктаторів. Поділ Європи між Гітлером і Сталіним 1939-1941,,,2018.0
978-617-7973-89-7,Ґ. Маккеон,Психологія,українська,,Наш формат,Без зусиль. Досягайте важливого легше,,,2022.0
978-966-942-492-1,,Дозвілля та Хобі,українська,,Віват,Український святковий стіл. Від Закарпаття до Слобожанщини,,,2018.0
978-617-548-141-7,К. Тіппінг,Психологія,українська,,Bookchef,Радикальне Прощення. Батьки і діти,,,2023.0
978-617-548-059-5,Дж. Ловлесс,Психологія,українська,,Bookchef,"Іди туди, де страшно. І отримаєш те, про що мрієш",,,2022.0
978-617-8115-35-7,"Д. Аджемоґлу, Дж. Робінсон",Бізнес-література,українська,,Наш формат,"Чому нації занепадають. Походження влади, багатства і бідності",,,2022.0
9786175773352,,Наукпоп,українська,,Моноліт,Правила Дорожнього Руху України 2024,,,2023.0
978-966-948-672-1,Д. Карнегі,Психологія,українська,,Видавнича група КМ-БУКС,Як здобувати друзів і впливати на людей,,,2022.0
978-617-95267-3-2,М. Бентон,Наукпоп,українська,,Бородатий Тамарин,Динозаври. Новий погляд,,,2023.0
978-966-993-590-8,Ґ. Дойл,Психологія,українська,,Bookchef,Вільна,,,2021.0
978-966-448-232-2,Г. Марш,Наукпоп,українська,,Видавництво Старого Лева,І наостанок,,,2023.0
978-617-8115-95-1,Н. Ворбертон,Наукпоп,українська,,Наш формат,Коротка історія філософії,,,2023.0
978-966-982-781-4,"Д. Файбер, Дж. Кінґ",Психологія,українська,,Віват,"Як говорити так, щоб  маленькі діти слухали. Виживання з дітьми 2–7 років",,,2024.0
978-617-12-9500-1,К. Феррацці та ін.,Бізнес-література,українська,,КСД,Ніколи не їжте наодинці та інші секрети успіху завдяки широкому колу знайомств,,,
978-617-8120-90-0,"П. Тіль, Б. Мастерс",Наукпоп,українська,,Наш формат,"Від нуля до одиниці. Нотатки про стартапи, або Як створити майбутнє",,,2023.0
978-617-7973-02-6,Н. Н. Талеб,Психологія,українська,,Наш формат,Чорний лебідь. Про (не)ймовірне у реальному житті,,,2021.0
978-617-12-8910-9,В. В`ятрович,"Історія, факти та біографії",українська,,КСД,Україна. Історія з грифом «Секретно»,,,
978-966-429-819-0,Н. Царенко,Наукпоп,українська,,ВД «Школа»,Ваша дитина часто хворіє? Про психологічне розв’язання фізичних проблем,,,2024.0
978-617-796-032-3,В. Агеєва,"Історія, факти та біографії",українська,,Віхола,За лаштунками імперії,,,2021.0
978-617-12-9907-8,Сунь-Цзи,"Історія, факти та біографії",українська,,КСД,Мистецтво війни,,,
978-966-448-048-9,Г. Марш,Наукпоп,українська,,Видавництво Старого Лева,Щоденники нейрохірурга,,,2022.0
978-617-679-178-2,,Психологія,українська,,Видавництво Старого Лева,Психологічна травма та шлях до видужання. Наслідки насильства — від знущань у сім’ї до політичного терору,,,
978-617-7863-11-2,М. Аркас,"Історія, факти та біографії",українська,,Наш формат,Історія України-Русі,,,2020.0
978-617-585-088-6,В. Білінський,"Історія, факти та біографії",українська,,А-БА-БА-ГА-ЛА-МА-ГА,Москва ординська (XIII–XVI століття). Історичне дослідження,,,2023.0
978-617-7866-90-8,Джеффрі Бернстейн,Психологія,українська,,Наш формат,Мене ніхто не розуміє!,,,2023.0
978-966-982-278-9,С. Ґарнье,Психологія,українська,,Віват,Думай і дій як кіт - 2,,,2021.0
978-617-7863-35-8,Сапольскі Р.,Психологія,українська,,Наш формат,Біологія поведінки. Причини доброго і поганого в нас,,,2022.0
978-966-448-124-0,Ш. Раймс,"Саморозвиток, мотивація",українська,,Видавництво Старого Лева,"Рік, коли я казала «ТАК»",,,2024.0
978-617-7388-69-1,"А. Остервальдер, І. Піньє, Ґ. Бернарда, А. Сміт",Бізнес-література,українська,,Наш формат,"Розробляємо ціннісні пропозиції. Як створити продукти та послуги, яких хочуть клієнти",,,2023.0
978-966-948-010-1,Дж. Даймонд,"Історія, факти та біографії",українська,,Видавнича група КМ-БУКС,"Колапс. Чому одні суспільства занепадають, а інші успішно розвиваються",,,2019.0
978-617-12-9324-3,Р. Бретт,"Саморозвиток, мотивація",українська,,КСД,"Будь дивом: 50 уроків, щоб зробити неможливе можливим",,,
978-617-522-213-3,В. Валлє,"Історія, факти та біографії",українська,,Фабула,Геноцид ХХІ. Війна на знищення української нації,,,2024.0
978-617-7544-28-8,Т. Шустер,"Саморозвиток, мотивація",українська,,Якабу Паблішинг,"Купи собі той довбаний букет: та інші способи зібратися докупи від тієї, кому вдалось",,,2020.0
978-617-09-5579-1,Д. Борґ,"Саморозвиток, мотивація",українська,,Фабула,Мистецтво говорити. Таємниці ефективного спілкування,,,2019.0
9772708326294,,Дозвілля та Хобі,українська,,Forbes Ukraine,Forbes Ukraine. №2 (квітень-травень 2024),,,2024.0
978-617-12-7675-8,Л. Кравецька,Дозвілля та Хобі,українська,,КСД,Готуємо з дітьми. Сімейна кухня,,,2020.0
"978-617-12-4120-6, 978-617-12-9264-2, 978-617-12-9625-1","Н. Гілл, Р. Грін, Р. Чалдині",Психологія,українська,,КСД,Думай і багатій + 48 законів влади + Психологія впливу. Оновлено та доповнено,,,
978-966-948-783-4,В. Макрейвен,"Саморозвиток, мотивація",українська,,Видавнича група КМ-БУКС,"Застеляйте ліжко.  Дрібниці, які можуть змінити ваше життя… і, можливо, світ",,,2023.0
978-966-982-118-8,Д. Корній,"Історія, факти та біографії",українська,,Віват,Чарівні істоти українського міфу. Духи-шкідники,,,2020.0
978-617-09-7158-6,Е. Ґрейтенс,Психологія,українська,,Фабула,Стійкість: тяжко виборена мудрість для ліпшого життя,,,2023.0
978-966-10-6548-1,З. Фройд,Психологія,українська,,Навчальна книга Богдан,Вступ до психоаналізу. Нові висновки,,,2021.0
978-966-993-594-6,Д. Дж. Наказава,Психологія,українська,,Форс,Уламки дитячих травм. Чому ми хворіємо і як це припинити,,,2022.0
978-617-8277-65-9,"Д. Сіґел, Т. Брайсон",Психологія,українська,,Наш формат,«Я поруч». Як залученість у життя дитини впливає на її особистість,,,2024.0
978-617-8154-02-8,Е. Чепмен,Наукпоп,українська,,Бородатий Тамарин,Перше світло,,,2024.0
978-617-522-105-1,Джон Медіна,Наукпоп,українська,,Фабула,Правила мозку для роботи. Наука мислити розумніше в офісі та вдома,,,2023.0
978-617-522-046-7,С. Форден,"Історія, факти та біографії",українська,,Фабула,"Дім Ґуччі: сенсаційна історія вбивства, божевілля, гламуру та жадібності",,,2021.0
978-617-548-201-8,Шайна Алі,Психологія,українська,,Bookchef,"Полюбіть себе. Щоденник, який допоможе змінити ваше життя,  підвищити самооцінку, збагнути свою цінність і знайти справжнє щастя",,,2024.0
978-617-12-4962-2,М. Гейстінґс,"Історія, факти та біографії",українська,англійська,КСД,І розверзлося пекло… Світ у війні 1939-1945 років,All Hell Let Loose: The World at War 1939-1945,Р. В. Клочко,2019.0
978-617-15-0635-0,О. Клеон,Психологія,українська,,КСД,"Кради як митець. Креативні «фішки», про які тобі ніхто не розповість",,,2024.0
978-617-8115-64-7,С. Плохій,"Історія, факти та біографії",українська,,Наш формат,Атоми і попіл. Глобальна історія ядерних катастроф,,,2024.0
978-617-7973-04-0,Ґ. Маккеон,Психологія,українська,,Наш формат,Есенціалізм. Мистецтво визначати пріоритети,,,2021.0
978-617-12-9611-4,Леся Кравецька,Дозвілля та Хобі,українська,,КСД,Сирні мандри,,,2023.0
978-966-982-835-4,Марк Волінн,Психологія,українська,,Віват,Це почалося не з тебе. Як успадкована родинна травма формує нас і як розірвати це коло,,,2023.0
978-617-8120-63-4,"Е. Ґолдратт, Д. Кокс",Бізнес-література,українська,,Наш формат,Мета. Процес безперервного вдосконалення,,,2023.0
978-617-00-3754-1,А. Гресь,Психологія,українська,,ВГ «Основа»,Для турботливих батьків. Зрозумій мене! Секрети розшифровування дитячої поведінки,,,2019.0
978-966-993-562-5,К. Тіппінг,Психологія,українська,,Bookchef,Радикальне прощення,,,2021.0
9789661515948,Брати Капранови,"Історія, факти та біографії",українська,,Зелений пес,Мальована історія Незалежності України,,,2023.0
978-617-09-6503-5,,Наукпоп,українська,,Фабула,Чому зебри не страждають на виразку,,,2020.0
9789662792577,Брати Капранови,"Історія, факти та біографії",українська,,Зелений пес,Історія Європи. Український погляд,,,2023.0
978-617-15-0170-6,М .А. Кусумано,Бізнес-література,українська,англійська,КСД,"Стратегії геніїв. П’ять найважливіших уроків від Білла Ґейтса, Енді Ґроува та Стіва Джобса","Strategy Rules: Five Timeless Lessons from Bill Gates, Andy Grove, and Steve Jobs",Світлана Новікова,
978-617-15-0171-3,Кові С.,Бізнес-література,українська,англійська,КСД,7 звичок надзвичайно ефективних людей. Оновлено,,Олена Любенко,2023.0
978-966-982-246-8,Дж. Стрелекі,Психологія,українська,,Віват,Повернення до кафе на краю світу,,,2021.0
978-617-8277-01-7,Г. Елрод,"Історія, факти та біографії",українська,,Наш формат,Чудовий ранок для фінансового успіху. Неочевидні звички заможних,,,2023.0
978-617-679-440-0,С. Філіп,"Історія, факти та біографії",українська,,Видавництво Старого Лева,Східно-західна вулиця. Повернення до Львова,,,2023.0
978-617-585-194-4,О. Палій,"Історія, факти та біографії",українська,,А-БА-БА-ГА-ЛА-МА-ГА,Збагнути Росію. Свідчення очевидців,,,2020.0
978-617-95267-4-9,М. Маллейн,Наукпоп,українська,,Бородатий Тамарин,Верхи на шатлі,,,2023.0
978-617-15-0708-1,Ч. Дахіґґ,"Саморозвиток, мотивація",українська,англійська,КСД,"Сила звички. Чому ми діємо так, а не інакше в житті та бізнесі",The power of habit,,2024.0
978-966-948-031-6,Е. Тадем,Дозвілля та Хобі,українська,,Видавнича група КМ-БУКС,50 креативних ідей малювання олівцем,,,2019.0
978-617-548-075-5,Сінсеро Д.,Психологія,українська,,Bookchef,"Не тупи. Працюй над собою, прокачуй свою крутість і отримай життя, про яке мрієш!",,,2022.0
978-617-12-7692-5,С. Плохій,"Історія, факти та біографії",українська,англійська,КСД,Забуті покидьки східного фронту,Forgotten bastards of the eastern front,Н. Є. Коваль,2020.0
978-617-12-8595-8,Емілі та Амелія Наґоскі,Психологія,українська,англійська,КСД,Вигоряння. Стратегія боротьби з виснаженням удома та на роботі,Burnout. THE SECRET TO UNLOCKING THE STRESS CYCLE,С. А. Новікова,2021.0
978-617-12-7634-5,К. Флемінг,"Саморозвиток, мотивація",українська,англійська,КСД,Говорити легко та невимушено. Як стати приємним співрозмовником,"The serious business of small talk. Becoming Fluent, Comfortable, and Charming",В. Д. Чумак,2020.0
978-617-7279-15-9,А. Ренд,Психологія,українська,,Наш формат,Атлант розправив плечі. Частина друга. Або—Або,,,2015.0
978-617-17-0293-6,Барбі Латца Надо,"Історія, факти та біографії",українська,,Віват,Хрещена мати,,,2024.0
978-617-8257-19-4,І. Гоменюк,"Історія, факти та біографії",українська,,Віхола,"Мурашник. Нотатки на манжетах історії Галичини, Буковини та Закарпаття",,,2023.0
978-617-12-9932-0,Бун Лім,Наукпоп,українська,,КСД,Внутрішня icторiя. У ритмі здорового серця,,Альбіна Саженюк,2023.0
978-617-8115-61-6,Філ Найт,"Історія, факти та біографії",українська,,Наш формат,Взуття-буття. Історія Nike від засновника компанії,,,2022.0
978-617-8120-98-6,Шон Макфейт,"Історія, факти та біографії",українська,,Наш формат,Нові правила війни. Перемога в епоху тривалого хаосу,,,2023.0
978-617-15-0510-0,І. Патриляк,"Історія, факти та біографії",українська,,КСД,Перемога або смерть. Український визвольний рух у 1939-1960 роках,,,2024.0
978-617-12-9899-6,Гокінґ С.,Наукпоп,українська,англійська,КСД,Про Всесвіт коротко,The Universe in a Nutshell,,
978-966-982-022-8,Л. Ґутьєррес,Наукпоп,українська (англійська),,Віват,Англійська для дорослих. English is not easy,,,2019.0
978-966-448-271-1,"К. Крістенсен, Дж. Олворт, К. Діллон",Бізнес-література,українська,,Видавництво Старого Лева,Як ви збудуєте своє життя?,,,2024.0
978-617-522-169-3,В. Валлє,Психологія,українська,,Фабула,Стефанія. Листи додому з чужих берегів,,,2024.0
978-617-577-121-1,,Наукпоп,українська,,Моноліт,Тести з правил дорожнього руху,,,2022.0
978-617-548-189-9,Б. Вест,Психологія,українська,,Bookchef,"101 есей, який змінить ваше мислення",,,2024.0
9786177960798,В. Саркісян,"Історія, факти та біографії",українська,,Віхола,Дослідники смерті,,,2022.0
978-617-12-9964-1,М. Вікінг,Психологія,українська,англійська,КСД,Дім хюґе,The Hygge Home,Д. Москвітіна,2023.0
978-966-982-831-6,"Брюс Д. Перрі, Уінфрі Опра",Психологія,українська,,Віват,"Що з тобою сталося? Про травму, психологічну стійкість і зцілення. Як зрозуміти своє минуле…",,,2023.0
978-617-12-9379-3,Г. Понцер,Наукпоп,українська,англійська,КСД,"Наш метаболізм. Калорії, вага та секрети міцного здоров’я",Burn. The New Science of Human Metabolism,В. І. Кучменко,
978-617-15-0630-5,Д. Везерфорд,"Історія, факти та біографії",українська,,КСД,Чингісхан та історія створення сучасного світу,,Возняк Ігор,2024.0
978-617-15-0268-0,Я. Теллон-Гікс,Наукпоп,українська,англійська,КСД,Гарячі й безтурботні. Відчуйте бажання свого тіла,"Hot and Unbothered. How to think about, talk about, and have the sex you really want",Кучменко Віра,2023.0
978-966-448-270-4,"К. М. Крістенсен, Е. Оджомо, К. Діллон",Бізнес-література,українська,,Видавництво Старого Лева,Парадокс процвітання. Як інновації можуть вивести нації з бідності,,,2024.0
978-617-8115-83-8,Трей Ґауді,Психологія,українська,,Наш формат,Сила запитань,,,2022.0
978-617-7960-96-5,М. Яковлєв,Психологія,українська,,Віхола,Теорії змов. Як (не) стати конспірологом,,,2023.0
978-617-548-089-2,Бріанна Вест,Психологія,українська,,Bookchef,Тією горою є ви. Як перетворити самосаботаж на самовдосконалення,,,2023.0
978-966-942-116-6,Д. Ґоулман,Психологія,українська,англійська,Віват,Емоційний інтелект,Emotional Intelligence,С.Л. Гумецкая,2018.0
978-617-7279-78-4,Н. Фергюсон,"Історія, факти та біографії",українська,,Наш формат,Цивілізація. Як захід став успішним,,,2017.0
978-617-7682-72-0,Р. Докінз,Наукпоп,українська,,Наш формат,Наука для душі. Нотатки раціоналіста,,,2019.0
978-617-15-0168-3,Д. Свааб,Наукпоп,українська,,КСД,Ми - це наш мозок,,Олександра Коцюба,2023.0
978-617-12-9897-2,"С. Гокінґ, Л. Млодінов",Наукпоп,українська,,КСД,Найкоротша історія часу,,,2023.0
978-617-7682-91-1,Д. Ґоулман,Бізнес-література,українська,,Наш формат,Емоційний інтелект лідера,,,2019.0
978-617-12-5894-5,Дж. Фрайд і Д. Х. Хенссон,Психологія,українська,англійська,КСД,Не божеволій на роботі!,It does not have to be crazy at work,"В. Криницький, О. Чередниченко",2019.0
978-617-12-7088-6,Шинмьо Масуно,"Саморозвиток, мотивація",українська,англійська,КСД,"Спіймай дзен життя. Японські практики, що ведуть до спокою та радості",The art of simple living: 100 Daily Practices from a Japanese Monk for a Lifetime of Calm and Joy,О. Г. Дятел,2020.0
978-617-548-084-7,Колін К. Тіппінг,Психологія,українська,,Bookchef,Радикальна Любов. Інструкція для розкриття вашої духовності та створення ідеальних стосунків,,,2022.0
978-617-8120-96-2,Дж. Ґалеф,"Саморозвиток, мотивація",українська,,Наш формат,Мислення розвідника,,,2023.0
978-617-8178-03-1,С. Махун,"Історія, факти та біографії",українська,,Віхола,У тенетах загадкових історичних убивств,,,2024.0
